case_id,reasoning_mechanism,total_prompt_rows,valid_rows,format_failures,valid_output_accuracy,strict_accuracy,valid_output_decision_accuracy,strict_decision_accuracy
acceptance_004,executor_extraction,32,26,6,0.15384615384615385,0.125,0.5555555555555556,0.5555555555555556
amendment_007,executor_extraction,32,30,2,0.3333333333333333,0.3125,0.6875,0.6875
approval_chain_009,requester_extraction,32,24,8,0.25,0.1875,1.0,1.0
asset_scope_010,executor_extraction,32,30,2,0.5333333333333333,0.5,0.6,0.6
authority_003,signatory_extraction,32,32,0,0.0625,0.0625,0.6666666666666666,0.6666666666666666
finance_028,Q1,42,30,12,0.5333333333333333,0.38095238095238093,1.0,0.42857142857142855
finset_011,Q1,42,30,12,0.6333333333333333,0.4523809523809524,1.0,0.42857142857142855
finset_012,Q1,42,30,12,0.6,0.42857142857142855,1.0,0.42857142857142855
hr_019,unknown,42,41,1,0.024390243902439025,0.023809523809523808,0.6097560975609756,0.5952380952380952
hr_020,Q1,42,30,12,0.6,0.42857142857142855,1.0,0.42857142857142855
hr_030,Q1,42,30,12,0.4666666666666667,0.3333333333333333,1.0,0.42857142857142855
infosec_029,Q1,42,30,12,0.5,0.35714285714285715,1.0,0.42857142857142855
iplic_015,Q1,42,31,11,0.5806451612903226,0.42857142857142855,1.0,0.47619047619047616
iplic_016,unknown,42,36,6,0.0,0.0,0.2777777777777778,0.23809523809523808
it_023,Q1,42,30,12,0.5,0.35714285714285715,1.0,0.42857142857142855
it_024,Q1,42,28,14,0.5714285714285714,0.38095238095238093,1.0,0.42857142857142855
logistics_013,Q1,42,30,12,0.6,0.42857142857142855,1.0,0.42857142857142855
logistics_014,unknown,42,39,3,0.0,0.0,0.5897435897435898,0.5476190476190477
notice_005,executor_extraction,32,30,2,0.2,0.1875,0.7,0.7
privacy_017,unknown,42,39,3,0.0,0.0,0.3333333333333333,0.30952380952380953
privacy_018,Q1,42,28,14,0.6428571428571429,0.42857142857142855,1.0,0.42857142857142855
procure_021,Q1,42,33,9,0.45454545454545453,0.35714285714285715,0.5833333333333334,0.3333333333333333
procure_022,unknown,42,39,3,0.0,0.0,0.48717948717948717,0.4523809523809524
procurement_002,fact_extraction,30,28,2,0.39285714285714285,0.36666666666666664,0.4375,0.4375
property_025,Q1,42,27,15,0.5555555555555556,0.35714285714285715,1.0,0.42857142857142855
property_026,Q1,42,32,10,0.59375,0.4523809523809524,1.0,0.5238095238095238
reconciliation_006,supplier_extraction,32,30,2,0.3333333333333333,0.3125,0.9444444444444444,0.9444444444444444
shipping_027,Q1,42,32,10,0.5625,0.42857142857142855,0.7272727272727273,0.38095238095238093
sla_008,executor_extraction,32,24,8,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
trip_001,rule_retrieval,34,22,12,0.18181818181818182,0.11764705882352941,0.8333333333333334,0.6818181818181818
